,lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
10,33.8063,-118.3638,1,3,0,25,0.0
17,33.8183,-118.3868,8,2,0,25,1.0
27,33.8583,-118.4528,0,3,0,26,0.0
39,33.7723,-118.2968,0,2,0,27,1.0
55,33.8503,-118.4248,2,1,0,24,0.0
56,33.8163,-118.2688,11,2,0,22,1.0
67,33.9873,-118.0388,8,1,0,23,0.0
71,33.7873,-118.2628,3,1,0,25,1.0
74,33.8543,-118.1028,0,2,0,25,0.0
82,33.8333,-118.1378,11,1,0,24,0.0
95,33.7933,-118.3278,3,2,0,25,1.0
97,33.8943,-118.4628,0,2,0,24,0.0
124,33.7683,-118.2688,0,2,0,27,1.0
148,33.7953,-118.1618,10,2,0,27,0.0
160,33.8143,-118.1568,11,4,0,25,1.0
177,33.5673,-118.2228,0,2,0,47,0.0
180,33.8083,-118.1928,0,3,0,24,0.0
182,33.7973,-118.2588,9,4,0,24,0.0
183,33.8143,-118.3728,5,4,0,25,0.0
184,33.7973,-118.3008,0,4,0,24,1.0
189,33.8673,-118.0818,9,1,0,25,0.0
198,33.8443,-118.1108,6,2,0,25,1.0
200,33.7993,-118.4318,11,3,0,29,0.0
205,34.0253,-118.0328,3,3,0,23,1.0
206,34.0253,-118.4988,0,3,0,22,1.0
213,33.7973,-118.2418,9,1,0,24,0.0
228,33.7993,-118.1548,11,4,0,27,0.0
237,33.7973,-118.3468,4,1,0,25,0.0
241,33.8183,-118.1278,1,1,0,26,1.0
248,33.8083,-118.1548,6,3,0,26,1.0
267,34.0213,-118.0348,2,3,0,23,0.0
269,33.8733,-118.0858,11,4,0,25,1.0
277,33.8253,-118.4128,5,1,0,26,1.0
284,33.8293,-118.1258,0,2,0,25,1.0
286,33.7853,-118.1698,7,3,0,27,0.0
288,33.8463,-118.1168,3,3,0,25,0.0
293,34.0103,-118.0268,9,1,0,24,1.0
294,33.8123,-118.1468,5,1,0,26,1.0
304,33.7993,-118.1278,7,3,0,28,0.0
313,33.6353,-118.1618,0,3,0,42,0.0
315,33.8203,-118.4298,10,4,0,27,1.0
321,33.7993,-118.3198,0,1,0,25,0.0
322,33.5783,-118.4198,0,1,0,48,0.0
329,33.8373,-118.1028,9,3,0,26,0.0
333,33.7913,-118.3558,9,1,0,26,0.0
349,33.7973,-118.4188,6,3,0,28,0.0
354,33.7873,-118.3558,0,3,0,27,1.0
359,33.7913,-118.1528,7,4,0,27,1.0
369,33.8013,-118.1598,5,1,0,26,1.0
373,34.0423,-118.0328,8,2,0,23,0.0
380,33.7593,-118.3678,6,3,0,30,0.0
397,33.6503,-118.0388,0,1,0,45,0.0
404,33.7873,-118.2378,3,2,0,25,0.0
412,34.0043,-118.0328,11,4,0,24,1.0
436,34.0483,-118.0388,10,3,0,23,1.0
442,34.0483,-118.5008,0,3,0,23,1.0
444,34.0403,-118.5008,5,4,0,23,0.0
445,34.0653,-118.4948,3,4,0,22,0.0
449,33.7933,-118.2398,0,4,0,25,0.0
454,33.7263,-118.3658,0,5,0,33,0.0
474,33.8353,-118.1318,5,3,0,25,0.0
483,33.7973,-118.3848,8,1,0,27,1.0
487,33.7263,-118.4458,0,1,0,36,0.0
491,33.8463,-118.4128,9,3,0,24,1.0
494,33.7973,-118.2798,6,3,0,24,0.0
515,33.7533,-118.2588,2,2,0,29,0.0
516,33.7913,-118.3678,0,2,0,27,1.0
517,33.8083,-118.3918,0,2,0,26,0.0
523,33.8123,-118.1168,6,4,0,27,1.0
525,33.8253,-118.3998,4,4,0,25,1.0
526,33.8253,-118.1258,4,4,0,26,0.0
527,33.7973,-118.3768,2,4,0,26,0.0
531,33.7743,-118.3408,0,4,0,27,0.0
556,33.8063,-118.3258,0,4,0,24,0.0
565,33.8183,-118.1598,1,2,0,25,1.0
566,33.8523,-118.4268,1,2,0,24,0.0
582,33.7893,-118.2738,1,1,0,25,1.0
585,33.4243,-118.1698,0,1,0,62,0.0
588,33.8793,-118.4608,7,3,0,25,0.0
598,34.0233,-118.0328,3,4,0,23,0.0
601,33.7893,-118.2738,0,4,0,25,0.0
610,33.8083,-118.2228,11,2,0,24,0.0
611,33.8633,-118.1088,9,2,0,24,0.0
632,33.8163,-118.1468,5,1,0,25,1.0
662,34.0353,-118.0438,8,2,0,22,1.0
677,33.8463,-118.4268,1,1,0,25,0.0
686,33.8183,-118.4268,5,3,0,27,0.0
688,33.8253,-118.1258,1,3,0,26,0.0
689,33.8123,-118.1258,0,3,0,27,0.0
700,33.8523,-118.1108,10,2,0,24,1.0
705,33.8013,-118.2688,0,2,0,24,1.0
708,33.8393,-118.4108,8,3,0,24,1.0
715,33.8223,-118.4108,7,1,0,26,1.0
716,33.8843,-118.0748,6,1,0,25,0.0
723,33.7893,-118.2688,6,2,0,25,1.0
727,33.8393,-118.4108,0,2,0,24,0.0
728,33.8063,-118.3408,8,3,0,24,0.0
729,33.8163,-118.4108,3,3,0,26,0.0
731,33.8083,-118.3198,9,1,0,24,0.0
737,33.8353,-118.4128,0,1,0,25,0.0
748,33.7533,-118.2858,0,3,0,29,0.0
749,33.8083,-118.1598,8,4,0,26,0.0
752,33.8013,-118.1678,2,4,0,26,1.0
753,34.0313,-118.4968,1,4,0,22,1.0
755,33.8463,-118.4128,10,1,0,24,0.0
776,33.8013,-118.1758,2,4,0,26,0.0
777,33.9833,-118.0328,2,4,0,24,0.0
778,33.7873,-118.2158,1,4,0,26,0.0
784,33.8633,-118.0978,2,2,0,24,0.0
795,33.7743,-118.1468,0,3,0,29,0.0
799,33.8013,-118.2038,5,4,0,25,0.0
804,33.8203,-118.3768,6,1,0,24,0.0
805,33.8033,-118.2588,5,1,0,24,0.0
814,33.8373,-118.1168,0,2,0,25,0.0
